user_id,hour_of_day,month_id,watch_date,day_of_week,day_name,day_classification,month_name,Tv_Channel,watch_time,duration,UserID,Region,age,age_groups,email_flag,social_media_flag,Race,gender
821952,14,201602,2016-02-24,55,Wed,weekday,Feb,ICC Cricket World Cup 2011,14:28:00,00:02:12,821952,Eastern Cape,33,Youth,1,1,coloured,male
821952,5,201603,2016-03-03,63,Thu,weekday,Mar,ICC Cricket World Cup 2011,05:44:00,00:01:20,821952,Eastern Cape,33,Youth,1,1,coloured,male
821952,21,201602,2016-02-23,54,Tue,weekday,Feb,Cartoon Network,21:15:00,00:01:01,821952,Eastern Cape,33,Youth,1,1,coloured,male
821952,8,201602,2016-02-23,54,Tue,weekday,Feb,Cartoon Network,08:56:00,00:01:08,821952,Eastern Cape,33,Youth,1,1,coloured,male
893801,0,201603,2016-03-08,68,Tue,weekday,Mar,Cartoon Network,00:14:00,00:01:10,893801,Kwazulu Natal,40,Adult,1,1,indian_asian,male
893801,11,201603,2016-03-08,68,Tue,weekday,Mar,ICC Cricket World Cup 2011,11:52:00,00:00:00,893801,Kwazulu Natal,40,Adult,1,1,indian_asian,male
893801,13,201603,2016-03-30,90,Wed,weekday,Mar,ICC Cricket World Cup 2011,13:51:00,00:37:24,893801,Kwazulu Natal,40,Adult,1,1,indian_asian,male
893801,15,201603,2016-03-12,72,Sat,weekend,Mar,ICC Cricket World Cup 2011,15:16:00,00:02:18,893801,Kwazulu Natal,40,Adult,1,1,indian_asian,male
929723,8,201603,2016-03-31,91,Thu,weekday,Mar,SuperSport Blitz,08:34:00,00:01:48,929723,Western Cape,27,Youth,1,1,indian_asian,male
941143,22,201603,2016-03-11,71,Fri,weekday,Mar,Africa Magic,22:34:00,00:00:13,941143,Western Cape,24,Youth,1,1,coloured,male
941143,16,201603,2016-03-27,87,Sun,weekend,Mar,Supersport Live Events,16:30:00,00:01:36,941143,Western Cape,24,Youth,1,1,coloured,male
907172,10,201603,2016-03-24,84,Thu,weekday,Mar,Supersport Live Events,10:32:00,00:01:04,907172,Free State,27,Youth,1,1,indian_asian,male
375711,14,201601,2016-01-07,07,Thu,weekday,Jan,E! Entertainment,14:49:00,00:01:40,375711,Gauteng,23,Youth,1,1,white,male
375711,20,201601,2016-01-06,06,Wed,weekday,Jan,SuperSport Blitz,20:20:00,00:03:14,375711,Gauteng,23,Youth,1,1,white,male
375711,11,201601,2016-01-08,08,Fri,weekday,Jan,Trace TV,11:27:00,00:01:54,375711,Gauteng,23,Youth,1,1,white,male
915669,15,201603,2016-03-27,87,Sun,weekend,Mar,Channel O,15:29:00,00:00:00,915669,Eastern Cape,33,Youth,1,1,black,male
867604,18,201603,2016-03-14,74,Mon,weekday,Mar,Channel O,18:52:00,00:33:06,867604,Limpopo,32,Youth,1,1,indian_asian,male
867604,19,201603,2016-03-05,65,Sat,weekend,Mar,E! Entertainment,19:02:00,00:09:58,867604,Limpopo,32,Youth,1,1,indian_asian,male
773061,16,201601,2016-01-08,08,Fri,weekday,Jan,Africa Magic,16:23:00,00:25:15,773061,Gauteng,46,Adult,1,1,black,male
773061,21,201601,2016-01-22,22,Fri,weekday,Jan,Africa Magic,21:45:00,00:21:44,773061,Gauteng,46,Adult,1,1,black,male
773061,21,201603,2016-03-04,64,Fri,weekday,Mar,E! Entertainment,21:43:00,00:01:50,773061,Gauteng,46,Adult,1,1,black,male
773061,4,201601,2016-01-12,12,Tue,weekday,Jan,CNN,04:00:00,00:00:42,773061,Gauteng,46,Adult,1,1,black,male
1108688,11,201603,2016-03-24,84,Thu,weekday,Mar,Channel O,11:47:00,00:00:39,1108688,North West,21,Youth,1,1,black,male
1108688,7,201603,2016-03-23,83,Wed,weekday,Mar,Channel O,07:48:00,00:11:18,1108688,North West,21,Youth,1,1,black,male
1108688,7,201603,2016-03-23,83,Wed,weekday,Mar,Channel O,07:57:00,00:05:33,1108688,North West,21,Youth,1,1,black,male
880726,17,201603,2016-03-10,70,Thu,weekday,Mar,SuperSport Blitz,17:59:00,00:00:00,880726,Gauteng,38,Adult,1,1,indian_asian,male
821956,12,201601,2016-01-22,22,Fri,weekday,Jan,Africa Magic,12:27:00,00:00:33,821956,Gauteng,22,Youth,1,1,black,male
821956,20,201601,2016-01-23,23,Sat,weekend,Jan,Channel O,20:39:00,00:10:27,821956,Gauteng,22,Youth,1,1,black,male
821956,1,201601,2016-01-23,23,Sat,weekend,Jan,Africa Magic,01:57:00,00:04:06,821956,Gauteng,22,Youth,1,1,black,male
773062,18,201601,2016-01-31,31,Sun,weekend,Jan,Boomerang,18:24:00,00:01:21,773062,Mpumalanga,32,Youth,1,1,black,male
810279,12,201602,2016-02-19,50,Fri,weekday,Feb,Supersport Live Events,12:41:00,00:12:44,810279,Western Cape,39,Adult,1,1,None,male
810279,12,201602,2016-02-02,33,Tue,weekday,Feb,Supersport Live Events,12:38:00,00:07:38,810279,Western Cape,39,Adult,1,1,None,male
810279,13,201601,2016-01-08,08,Fri,weekday,Jan,Supersport Live Events,13:41:00,00:00:00,810279,Western Cape,39,Adult,1,1,None,male
810279,21,201601,2016-01-16,16,Sat,weekend,Jan,SuperSport Blitz,21:51:00,00:06:56,810279,Western Cape,39,Adult,1,1,None,male
810279,21,201601,2016-01-15,15,Fri,weekday,Jan,Supersport Live Events,21:28:00,00:01:38,810279,Western Cape,39,Adult,1,1,None,male
810279,15,201602,2016-02-06,37,Sat,weekend,Feb,Supersport Live Events,15:58:00,00:00:36,810279,Western Cape,39,Adult,1,1,None,male
810279,13,201602,2016-02-27,58,Sat,weekend,Feb,Supersport Live Events,13:45:00,00:00:00,810279,Western Cape,39,Adult,1,1,None,male
810279,13,201602,2016-02-12,43,Fri,weekday,Feb,Vuzu,13:24:00,00:00:00,810279,Western Cape,39,Adult,1,1,None,male
